Site,Time Point,Agaricia Cover,Porites Cover
Salt Creek,T3,0,0
Salt Creek,T3,4,3
STRI,T3,0,2
STRI,T3,7,0
STRI,T3,0,0
STRI,T3,4,0
STRI,T3,9,0
STRI,T3,4,0
STRI,T3,1,0
STRI,T3,0,0
STRI,T3,1,0
STRI,T3,0,0
Almirante,T5,13,1
Almirante,T5,30,0
Almirante,T5,10,0
Almirante,T5,9,0
Almirante,T5,15,0
Almirante,T5,36,0
Almirante,T5,10,0
Almirante,T5,12,0
Almirante,T5,12,0
Almirante,T5,7,1
Almirante,T5,0,0
Almirante,T5,15,2
Almirante,T5,15,0
Almirante,T5,10,2
Almirante,T5,16,0
Almirante,T5,28,0
Almirante,T5,14,0
Almirante,T5,22,0
Almirante,T5,11,0
Almirante,T5,0,0
Caracol,T5,0,35
Caracol,T5,2,9
Caracol,T5,0,17
Caracol,T5,0,12
Caracol,T5,0,27
Caracol,T5,0,25
Caracol,T5,0,40
Caracol,T5,0,24
Caracol,T5,0,0
Caracol,T5,0,3
Caracol,T5,0,3
Cayo Roldan,T5,3,1
Cayo Roldan,T5,0,5
Cayo Roldan,T5,1,6
Cayo Roldan,T5,4,1
Cayo Roldan,T5,5,5
Cayo Roldan,T5,2,0
Cayo Roldan,T5,1,0
Cayo Roldan,T5,0,0
Cayo Roldan,T5,1,7
Cayo Roldan,T5,6,0
Cayo Roldan,T5,18,0
Coral Cay,T5,0,4
Coral Cay,T5,1,1
Coral Cay,T5,0,78
Coral Cay,T5,0,3
Coral Cay,T5,6,22
Coral Cay,T5,1,0
Coral Cay,T5,0,7
Coral Cay,T5,0,5
Coral Cay,T5,9,7
Coral Cay,T5,0,9
Coral Cay,T5,0,1
Hospital Point,T5,17,0
Hospital Point,T5,31,0
Hospital Point,T5,3,0
Hospital Point,T5,18,14
Hospital Point,T5,16,0
Hospital Point,T5,38,0
Hospital Point,T5,22,0
Hospital Point,T5,13,0
Hospital Point,T5,0,0
Hospital Point,T5,0,0
Hospital Point,T5,0,7
Mainland,T5,41,18
Mainland,T5,0,33
Mainland,T5,24,25
Mainland,T5,28,2
Mainland,T5,21,8
Mainland,T5,5,0
Mainland,T5,23,0
Mainland,T5,18,5
Mainland,T5,13,2
Mainland,T5,9,3
Mainland,T5,14,0
Pastores,T5,0,2
Pastores,T5,0,8
Pastores,T5,0,3
Pastores,T5,0,9
Pastores,T5,0,4
Pastores,T5,0,3
Pastores,T5,0,11
Pastores,T5,0,5
Pastores,T5,0,1
Pastores,T5,0,5
Pastores,T5,0,4
Popa,T5,2,1
Popa,T5,12,2
Popa,T5,8,2
Popa,T5,7,2
Popa,T5,2,6
Popa,T5,18,2
Popa,T5,6,1
Popa,T5,0,9
Popa,T5,12,3
Popa,T5,2,2
Popa,T5,0,3
Punta Juan,T5,0,1
Punta Juan,T5,4,4
Punta Juan,T5,2,2
Punta Juan,T5,1,4
Punta Juan,T5,1,28
Punta Juan,T5,19,10
Punta Juan,T5,3,23
Punta Juan,T5,28,2
Punta Juan,T5,19,3
Punta Juan,T5,4,2
Punta Juan,T5,26,2
Salt Creek,T5,3,2
Salt Creek,T5,19,1
Salt Creek,T5,12,1
Salt Creek,T5,5,0
Salt Creek,T5,7,2
Salt Creek,T5,6,0
Salt Creek,T5,1,0
Salt Creek,T5,5,0
STRI,T5,7,0
STRI,T5,4,0
STRI,T5,3,0
STRI,T5,35,0
STRI,T5,4,0
STRI,T5,0,0
STRI,T5,3,0
STRI,T5,1,0
STRI,T5,3,0
STRI,T5,8,0
Almirante,T6,26,2
Almirante,T6,30,2
Almirante,T6,18,2
Almirante,T6,24,0
Almirante,T6,16,0
Almirante,T6,42,0
Almirante,T6,22,0
Almirante,T6,20,0
Almirante,T6,30,0
Almirante,T6,6,0
Almirante,T6,2,0
Almirante,T6,22,0
Almirante,T6,30,0
Almirante,T6,24,0
Almirante,T6,42,0
Almirante,T6,44,0
Almirante,T6,24,0
Almirante,T6,42,0
Almirante,T6,26,0
Almirante,T6,2,0
Caracol,T6,0,32
Caracol,T6,0,10
Caracol,T6,0,18
Caracol,T6,0,8
Caracol,T6,0,18
Caracol,T6,0,24
Caracol,T6,0,42
Caracol,T6,0,22
Caracol,T6,0,4
Caracol,T6,0,0
Caracol,T6,0,0
Cayo Roldan,T6,2,4
Cayo Roldan,T6,6,2
Cayo Roldan,T6,0,2
Cayo Roldan,T6,0,0
Cayo Roldan,T6,4,2
Cayo Roldan,T6,2,0
Cayo Roldan,T6,0,0
Cayo Roldan,T6,0,2
Cayo Roldan,T6,0,2
Cayo Roldan,T6,10,0
Cayo Roldan,T6,14,0
Coral Cay,T6,0,0
Coral Cay,T6,0,0
Coral Cay,T6,0,72
Coral Cay,T6,0,2
Coral Cay,T6,4,14
Coral Cay,T6,0,4
Coral Cay,T6,0,6
Coral Cay,T6,0,2
Coral Cay,T6,14,6
Coral Cay,T6,0,14
Coral Cay,T6,0,0
Hospital Point,T6,28,2
Hospital Point,T6,44,6
Hospital Point,T6,8,2
Hospital Point,T6,8,6
Hospital Point,T6,16,22
Hospital Point,T6,46,18
Hospital Point,T6,16,0
Hospital Point,T6,2,0
Hospital Point,T6,0,0
Hospital Point,T6,0,0
Hospital Point,T6,0,50
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,4
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,0
Mainland,T6,0,4
Mainland,T6,0,0
Pastores,T6,0,2
Pastores,T6,0,2
Pastores,T6,0,10
Pastores,T6,0,2
Pastores,T6,0,4
Pastores,T6,0,0
Pastores,T6,0,2
Pastores,T6,0,6
Pastores,T6,0,4
Pastores,T6,0,0
Pastores,T6,0,6
Popa,T6,8,8
Popa,T6,0,4
Popa,T6,0,0
Popa,T6,10,28
Popa,T6,2,4
Popa,T6,4,30
Popa,T6,2,0
Popa,T6,4,2
Popa,T6,0,0
Popa,T6,0,4
Popa,T6,2,4
Popa,T6,0,52
Punta Juan,T6,20,34
Punta Juan,T6,6,8
Punta Juan,T6,38,18
Punta Juan,T6,24,4
Punta Juan,T6,2,4
Punta Juan,T6,40,4
Punta Juan,T6,6,2
Punta Juan,T6,4,4
Punta Juan,T6,4,8
Punta Juan,T6,8,2
Punta Juan,T6,0,0
Salt Creek,T6,6,0
Salt Creek,T6,12,0
Salt Creek,T6,0,0
Salt Creek,T6,26,2
Salt Creek,T6,6,0
Salt Creek,T6,2,0
Salt Creek,T6,14,0
Salt Creek,T6,50,0
Salt Creek,T6,16,0
Salt Creek,T6,10,0
STRI,T6,0,0
STRI,T6,10,0
STRI,T6,0,0
STRI,T6,22,0
STRI,T6,8,0
STRI,T6,2,0
STRI,T6,4,2
STRI,T6,0,0
STRI,T6,2,0
STRI,T6,2,0
Almirante,T7,28,2
Almirante,T7,40,0
Almirante,T7,26,0
Almirante,T7,24,0
Almirante,T7,11,0
Almirante,T7,56,0
Almirante,T7,15,0
Almirante,T7,23,0
Almirante,T7,18,0
Almirante,T7,10,0
Almirante,T7,1,0
Almirante,T7,25,0
Almirante,T7,30,0
Almirante,T7,29,0
Almirante,T7,43,0
Almirante,T7,16,0
Almirante,T7,35,0
Almirante,T7,23,0
Almirante,T7,3,0
Caracol,T7,0,58
Caracol,T7,0,21
Caracol,T7,0,30
Caracol,T7,0,25
Caracol,T7,0,34
Caracol,T7,0,41
Caracol,T7,0,76
Caracol,T7,0,28
Caracol,T7,0,1
Caracol,T7,0,3
Caracol,T7,0,5
Cayo Roldan,T7,3,0
Cayo Roldan,T7,3,3
Cayo Roldan,T7,4,3
Cayo Roldan,T7,7,2
Cayo Roldan,T7,3,1
Cayo Roldan,T7,3,0
Cayo Roldan,T7,0,0
Cayo Roldan,T7,1,0
Cayo Roldan,T7,0,3
Cayo Roldan,T7,17,0
Cayo Roldan,T7,10,0
Coral Cay,T7,0,6
Coral Cay,T7,1,0
Coral Cay,T7,2,91
Coral Cay,T7,0,4
Coral Cay,T7,9,22
Coral Cay,T7,1,5
