Site,Time Point,Calcifiers Cover
Cayo Roldan,T5,28
Cayo Roldan,T5,42
Cayo Roldan,T5,29
Cayo Roldan,T5,2
Cayo Roldan,T5,13
Cayo Roldan,T5,29
Coral Cay,T5,27
Coral Cay,T5,26
Coral Cay,T5,22
Coral Cay,T5,4
Coral Cay,T5,21
Coral Cay,T5,71
Coral Cay,T5,9
Coral Cay,T5,11
Coral Cay,T5,29
Coral Cay,T5,53
Coral Cay,T5,25
Hospital Point,T5,23
Hospital Point,T5,45
Hospital Point,T5,83
Hospital Point,T5,21
Hospital Point,T5,39
Hospital Point,T5,46
Hospital Point,T5,38
Hospital Point,T5,27
Hospital Point,T5,12
Hospital Point,T5,23
Hospital Point,T5,52
Mainland,T5,43
Mainland,T5,21
Mainland,T5,32
Mainland,T5,47
Mainland,T5,39
Mainland,T5,6
Mainland,T5,28
Mainland,T5,24
Mainland,T5,48
Mainland,T5,16
Mainland,T5,26
Pastores,T5,26
Pastores,T5,34
Pastores,T5,32
Pastores,T5,8
Pastores,T5,14
Pastores,T5,2
Pastores,T5,2
Pastores,T5,6
Pastores,T5,3
Pastores,T5,3
Pastores,T5,0
Popa,T5,23
Popa,T5,50
Popa,T5,51
Popa,T5,24
Popa,T5,20
Popa,T5,49
Popa,T5,31
Popa,T5,24
Popa,T5,37
Popa,T5,28
Popa,T5,17
Punta Juan,T5,35
Punta Juan,T5,33
Punta Juan,T5,49
Punta Juan,T5,34
Punta Juan,T5,37
Punta Juan,T5,38
Punta Juan,T5,50
Punta Juan,T5,47
Punta Juan,T5,33
Punta Juan,T5,46
Punta Juan,T5,34
Salt Creek,T5,21
Salt Creek,T5,56
Salt Creek,T5,58
Salt Creek,T5,66
Salt Creek,T5,40
Salt Creek,T5,45
Salt Creek,T5,25
Salt Creek,T5,12
STRI,T5,18
STRI,T5,56
STRI,T5,10
STRI,T5,55
STRI,T5,41
STRI,T5,1
STRI,T5,3
STRI,T5,10
STRI,T5,6
STRI,T5,9
Almirante,T6,30
Almirante,T6,34
Almirante,T6,26
Almirante,T6,32
Almirante,T6,22
Almirante,T6,46
Almirante,T6,26
Almirante,T6,24
Almirante,T6,30
Almirante,T6,8
Almirante,T6,4
Almirante,T6,32
Almirante,T6,36
Almirante,T6,32
Almirante,T6,48
Almirante,T6,50
Almirante,T6,36
Almirante,T6,44
Almirante,T6,32
Almirante,T6,12
Caracol,T6,4
Caracol,T6,4
Caracol,T6,2
Caracol,T6,30
Caracol,T6,20
Caracol,T6,4
Caracol,T6,6
Caracol,T6,0
Caracol,T6,4
Caracol,T6,16
Caracol,T6,32
Cayo Roldan,T6,34
Cayo Roldan,T6,34
Cayo Roldan,T6,26
Cayo Roldan,T6,24
Cayo Roldan,T6,22
Cayo Roldan,T6,32
Cayo Roldan,T6,46
Cayo Roldan,T6,24
Cayo Roldan,T6,6
Cayo Roldan,T6,20
Cayo Roldan,T6,24
Coral Cay,T6,26
Coral Cay,T6,30
Coral Cay,T6,38
Coral Cay,T6,6
Coral Cay,T6,30
Coral Cay,T6,90
Coral Cay,T6,8
Coral Cay,T6,8
Coral Cay,T6,32
Coral Cay,T6,10
Coral Cay,T6,26
Hospital Point,T6,56
Hospital Point,T6,72
Hospital Point,T6,88
Hospital Point,T6,26
Hospital Point,T6,56
Hospital Point,T6,64
Hospital Point,T6,50
Hospital Point,T6,36
Hospital Point,T6,38
Hospital Point,T6,40
