Site,Time Point,Branching Porites Cover
Cayo Roldan,T6,42
Cayo Roldan,T6,22
Cayo Roldan,T6,4
Cayo Roldan,T6,0
Cayo Roldan,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,2
Coral Cay,T6,0
Coral Cay,T6,0
Hospital Point,T6,0
Hospital Point,T6,0
Hospital Point,T6,72
Hospital Point,T6,0
Hospital Point,T6,12
Hospital Point,T6,0
Hospital Point,T6,0
Hospital Point,T6,0
Hospital Point,T6,4
Hospital Point,T6,10
Hospital Point,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,6
Mainland,T6,6
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Popa,T6,0
Punta Juan,T6,4
Punta Juan,T6,0
Punta Juan,T6,22
Punta Juan,T6,2
Punta Juan,T6,28
Punta Juan,T6,0
Punta Juan,T6,2
Punta Juan,T6,0
Punta Juan,T6,0
Punta Juan,T6,4
Punta Juan,T6,52
Salt Creek,T6,32
Salt Creek,T6,0
Salt Creek,T6,18
Salt Creek,T6,4
Salt Creek,T6,0
Salt Creek,T6,2
Salt Creek,T6,0
Salt Creek,T6,4
Salt Creek,T6,0
Salt Creek,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,2
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Cayo Roldan,T8,36
Cayo Roldan,T8,4
Cayo Roldan,T8,4
Cayo Roldan,T8,10
Cayo Roldan,T8,4
Cayo Roldan,T8,34
Cayo Roldan,T8,38
Cayo Roldan,T8,0
Cayo Roldan,T8,20
Cayo Roldan,T8,0
Cayo Roldan,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,4
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Coral Cay,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,10
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Hospital Point,T8,0
Mainland,T8,4
Mainland,T8,0
Mainland,T8,8
Mainland,T8,36
Mainland,T8,16
Mainland,T8,18
Mainland,T8,0
Mainland,T8,0
Mainland,T8,0
Mainland,T8,0
Mainland,T8,30
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Pastores,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,10
Punta Juan,T8,58
Salt Creek,T8,36
Salt Creek,T8,0
Salt Creek,T8,0
Salt Creek,T8,0
Salt Creek,T8,0
Salt Creek,T8,0
Salt Creek,T8,2
Salt Creek,T8,0
Salt Creek,T8,16
Salt Creek,T8,0
Salt Creek,T8,2
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Cayo Roldan,T9,24
Cayo Roldan,T9,0
Cayo Roldan,T9,0
Cayo Roldan,T9,0
Cayo Roldan,T9,12
Cayo Roldan,T9,16
Cayo Roldan,T9,6
Cayo Roldan,T9,0
Cayo Roldan,T9,0
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Coral Cay,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Hospital Point,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Pastores,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Popa,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,4
Punta Juan,T9,0
Punta Juan,T9,0
Punta Juan,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Almirante,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Caracol,T3,0
Coral Cay,T3,0
Coral Cay,T3,1
Coral Cay,T3,1
Coral Cay,T3,0
Coral Cay,T3,1
Coral Cay,T3,0
Coral Cay,T3,0
