Site,Time Point,Porites Cover
Cayo Roldan,T5,25
Cayo Roldan,T5,40
Cayo Roldan,T5,24
Cayo Roldan,T5,0
Cayo Roldan,T5,3
Cayo Roldan,T5,3
Coral Cay,T5,1
Coral Cay,T5,5
Coral Cay,T5,6
Coral Cay,T5,1
Coral Cay,T5,5
Coral Cay,T5,0
Coral Cay,T5,0
Coral Cay,T5,0
Coral Cay,T5,7
Coral Cay,T5,0
Coral Cay,T5,0
Hospital Point,T5,4
Hospital Point,T5,1
Hospital Point,T5,78
Hospital Point,T5,3
Hospital Point,T5,22
Hospital Point,T5,0
Hospital Point,T5,7
Hospital Point,T5,5
Hospital Point,T5,7
Hospital Point,T5,9
Hospital Point,T5,1
Mainland,T5,0
Mainland,T5,0
Mainland,T5,0
Mainland,T5,14
Mainland,T5,0
Mainland,T5,0
Mainland,T5,0
Mainland,T5,0
Mainland,T5,0
Mainland,T5,0
Mainland,T5,7
Pastores,T5,18
Pastores,T5,33
Pastores,T5,25
Pastores,T5,2
Pastores,T5,8
Pastores,T5,0
Pastores,T5,0
Pastores,T5,5
Pastores,T5,2
Pastores,T5,3
Pastores,T5,0
Popa,T5,2
Popa,T5,8
Popa,T5,3
Popa,T5,9
Popa,T5,4
Popa,T5,3
Popa,T5,11
Popa,T5,5
Popa,T5,1
Popa,T5,5
Popa,T5,4
Punta Juan,T5,1
Punta Juan,T5,2
Punta Juan,T5,2
Punta Juan,T5,2
Punta Juan,T5,6
Punta Juan,T5,2
Punta Juan,T5,1
Punta Juan,T5,9
Punta Juan,T5,3
Punta Juan,T5,2
Punta Juan,T5,3
Salt Creek,T5,1
Salt Creek,T5,4
Salt Creek,T5,2
Salt Creek,T5,4
Salt Creek,T5,28
Salt Creek,T5,10
Salt Creek,T5,23
Salt Creek,T5,2
STRI,T5,3
STRI,T5,2
STRI,T5,2
STRI,T5,2
STRI,T5,1
STRI,T5,1
STRI,T5,0
STRI,T5,2
STRI,T5,0
STRI,T5,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,2
Almirante,T6,2
Almirante,T6,2
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Almirante,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Caracol,T6,0
Cayo Roldan,T6,32
Cayo Roldan,T6,10
Cayo Roldan,T6,18
Cayo Roldan,T6,8
Cayo Roldan,T6,18
Cayo Roldan,T6,24
Cayo Roldan,T6,42
Cayo Roldan,T6,22
Cayo Roldan,T6,4
Cayo Roldan,T6,0
Cayo Roldan,T6,0
Coral Cay,T6,4
Coral Cay,T6,2
Coral Cay,T6,2
Coral Cay,T6,0
Coral Cay,T6,2
Coral Cay,T6,0
Coral Cay,T6,0
Coral Cay,T6,2
Coral Cay,T6,2
Coral Cay,T6,0
Coral Cay,T6,0
Hospital Point,T6,0
Hospital Point,T6,0
Hospital Point,T6,72
Hospital Point,T6,2
Hospital Point,T6,14
Hospital Point,T6,4
Hospital Point,T6,6
Hospital Point,T6,2
Hospital Point,T6,6
Hospital Point,T6,14
Hospital Point,T6,0
Mainland,T6,2
Mainland,T6,6
Mainland,T6,2
Mainland,T6,6
Mainland,T6,22
Mainland,T6,18
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,50
Pastores,T6,0
Pastores,T6,0
Pastores,T6,4
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,4
Pastores,T6,0
Popa,T6,2
Popa,T6,2
Popa,T6,10
Popa,T6,2
Popa,T6,4
Popa,T6,0
Popa,T6,2
Popa,T6,6
Popa,T6,4
Popa,T6,0
Popa,T6,6
Popa,T6,8
Punta Juan,T6,4
Punta Juan,T6,0
Punta Juan,T6,28
Punta Juan,T6,4
Punta Juan,T6,30
Punta Juan,T6,0
Punta Juan,T6,2
Punta Juan,T6,0
Punta Juan,T6,4
Punta Juan,T6,4
Punta Juan,T6,52
Salt Creek,T6,34
Salt Creek,T6,8
Salt Creek,T6,18
