Site,Time Point,Reef Builder Cover
Cayo Roldan,T5,27
Cayo Roldan,T5,41
Cayo Roldan,T5,27
Cayo Roldan,T5,1
Cayo Roldan,T5,9
Cayo Roldan,T5,29
Coral Cay,T5,5
Coral Cay,T5,8
Coral Cay,T5,13
Coral Cay,T5,4
Coral Cay,T5,17
Coral Cay,T5,71
Coral Cay,T5,9
Coral Cay,T5,11
Coral Cay,T5,27
Coral Cay,T5,48
Coral Cay,T5,20
Hospital Point,T5,21
Hospital Point,T5,44
Hospital Point,T5,81
Hospital Point,T5,21
Hospital Point,T5,39
Hospital Point,T5,42
Hospital Point,T5,36
Hospital Point,T5,27
Hospital Point,T5,9
Hospital Point,T5,22
Hospital Point,T5,51
Mainland,T5,41
Mainland,T5,17
Mainland,T5,30
Mainland,T5,42
Mainland,T5,32
Mainland,T5,5
Mainland,T5,27
Mainland,T5,18
Mainland,T5,46
Mainland,T5,15
Mainland,T5,24
Pastores,T5,18
Pastores,T5,33
Pastores,T5,25
Pastores,T5,2
Pastores,T5,9
Pastores,T5,0
Pastores,T5,0
Pastores,T5,5
Pastores,T5,2
Pastores,T5,3
Pastores,T5,0
Popa,T5,19
Popa,T5,50
Popa,T5,44
Popa,T5,21
Popa,T5,18
Popa,T5,42
Popa,T5,20
Popa,T5,14
Popa,T5,20
Popa,T5,17
Popa,T5,7
Punta Juan,T5,2
Punta Juan,T5,11
Punta Juan,T5,10
Punta Juan,T5,5
Punta Juan,T5,14
Punta Juan,T5,37
Punta Juan,T5,44
Punta Juan,T5,47
Punta Juan,T5,30
Punta Juan,T5,45
Punta Juan,T5,31
Salt Creek,T5,21
Salt Creek,T5,55
Salt Creek,T5,58
Salt Creek,T5,66
Salt Creek,T5,38
Salt Creek,T5,37
Salt Creek,T5,24
Salt Creek,T5,11
STRI,T5,12
STRI,T5,53
STRI,T5,9
STRI,T5,41
STRI,T5,36
STRI,T5,1
STRI,T5,3
STRI,T5,8
STRI,T5,4
STRI,T5,9
Almirante,T6,26
Almirante,T6,32
Almirante,T6,22
Almirante,T6,24
Almirante,T6,16
Almirante,T6,44
Almirante,T6,24
Almirante,T6,22
Almirante,T6,30
Almirante,T6,8
Almirante,T6,2
Almirante,T6,28
Almirante,T6,34
Almirante,T6,32
Almirante,T6,46
Almirante,T6,46
Almirante,T6,30
Almirante,T6,42
Almirante,T6,32
Almirante,T6,12
Caracol,T6,4
Caracol,T6,4
Caracol,T6,2
Caracol,T6,30
Caracol,T6,20
Caracol,T6,4
Caracol,T6,6
Caracol,T6,0
Caracol,T6,4
Caracol,T6,16
Caracol,T6,32
Cayo Roldan,T6,34
Cayo Roldan,T6,34
Cayo Roldan,T6,18
Cayo Roldan,T6,20
Cayo Roldan,T6,22
Cayo Roldan,T6,26
Cayo Roldan,T6,44
Cayo Roldan,T6,22
Cayo Roldan,T6,4
Cayo Roldan,T6,12
Cayo Roldan,T6,20
Coral Cay,T6,10
Coral Cay,T6,8
Coral Cay,T6,4
Coral Cay,T6,0
Coral Cay,T6,16
Coral Cay,T6,84
Coral Cay,T6,8
Coral Cay,T6,8
Coral Cay,T6,30
Coral Cay,T6,10
Coral Cay,T6,16
Hospital Point,T6,34
Hospital Point,T6,60
Hospital Point,T6,82
Hospital Point,T6,14
Hospital Point,T6,30
Hospital Point,T6,58
Hospital Point,T6,38
Hospital Point,T6,14
Hospital Point,T6,16
Hospital Point,T6,34
Hospital Point,T6,54
Mainland,T6,6
Mainland,T6,6
Mainland,T6,4
Mainland,T6,6
Mainland,T6,22
Mainland,T6,18
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,0
Mainland,T6,50
Pastores,T6,0
Pastores,T6,0
Pastores,T6,4
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,0
Pastores,T6,6
Pastores,T6,0
Popa,T6,36
Popa,T6,12
Popa,T6,20
Popa,T6,18
Popa,T6,14
Popa,T6,6
Popa,T6,4
Popa,T6,14
Popa,T6,10
Popa,T6,0
Popa,T6,8
Popa,T6,18
Punta Juan,T6,26
Punta Juan,T6,10
Punta Juan,T6,68
Punta Juan,T6,38
Punta Juan,T6,32
Punta Juan,T6,42
Punta Juan,T6,52
Punta Juan,T6,58
Punta Juan,T6,60
Punta Juan,T6,70
Punta Juan,T6,66
Salt Creek,T6,40
Salt Creek,T6,36
Salt Creek,T6,18
Salt Creek,T6,38
Salt Creek,T6,16
Salt Creek,T6,48
Salt Creek,T6,16
Salt Creek,T6,58
Salt Creek,T6,26
Salt Creek,T6,38
STRI,T6,0
STRI,T6,10
STRI,T6,10
STRI,T6,22
STRI,T6,10
STRI,T6,2
STRI,T6,4
STRI,T6,2
STRI,T6,10
STRI,T6,2
Almirante,T7,28
